"","SEMANA","FECHA","AÑO","PRECIO","Pb"
"1","44","2013/44","2013",339.05,316.19
"2","45","2013/45","2013",253.64,244.06
"3","46","2013/46","2013",262.73,252.26
"4","47","2013/47","2013",266.66,254.32
"5","48","2013/48","2013",269.6,252.22
"6","49","2013/49","2013",269.75,252.14
"7","50","2013/50","2013",276.14,251.68
"8","51","2013/51","2013",272.2,251.62
"9","52","2013/52","2013",272.23,249.7
"10","1","2014/1","2014",280.58,253.27
"11","2","2014/2","2014",287.19,264.7
"12","3","2014/3","2014",292.73,266.93
"13","4","2014/4","2014",289.53,265.21
"14","5","2014/5","2014",294.6,266.86
"15","6","2014/6","2014",295.84,269.06
"16","7","2014/7","2014",299.69,267.48
"17","8","2014/8","2014",296.14,263.15
"18","9","2014/9","2014",295.65,261.35
"19","10","2014/10","2014",295.97,263.91
"20","11","2014/11","2014",298.33,265.23
"21","12","2014/12","2014",298.39,264.38
"22","13","2014/13","2014",299.23,265.64
"23","14","2014/14","2014",300.06,264.73
"24","15","2014/15","2014",295.98,270.25
"25","16","2014/16","2014",298.14,279.36
"26","17","2014/17","2014",308.01,285.08
"27","18","2014/18","2014",312.86,294.13
"28","19","2014/19","2014",310.53,292.1
"29","20","2014/20","2014",314.79,286.69
"30","21","2014/21","2014",315.2,292.63
"31","22","2014/22","2014",315.73,294.88
"32","23","2014/23","2014",321.22,292.5
"33","24","2014/24","2014",321.53,295.62
"34","25","2014/25","2014",327.57,302.57
"35","26","2014/26","2014",324.33,303.75
"36","27","2014/27","2014",321.39,309.1
"37","28","2014/28","2014",345.93,329.41
"38","29","2014/29","2014",355.76,340.05
"39","30","2014/30","2014",367.19,356.11
"40","31","2014/31","2014",374.75,361.16
"41","32","2014/32","2014",401.14,382.32
"42","33","2014/33","2014",404.25,386.86
"43","34","2014/34","2014",403.69,385.52
"44","35","2014/35","2014",401.83,378.35
"45","36","2014/36","2014",395.21,377.69
"46","37","2014/37","2014",390.33,370.26
"47","38","2014/38","2014",372.74,341.57
"48","39","2014/39","2014",343.83,324.57
"49","40","2014/40","2014",343.89,325.29
"50","41","2014/41","2014",342.01,322.02
"51","42","2014/42","2014",343.88,323.01
"52","43","2014/43","2014",340.95,318.25
"53","44","2014/44","2014",339.05,316.19
"54","45","2014/45","2014",315.56,301.49
"55","46","2014/46","2014",299.17,283.58
"56","47","2014/47","2014",292.28,277.38
"57","48","2014/48","2014",286.2,272.76
"58","49","2014/49","2014",286.72,274.2
"59","50","2014/50","2014",290.89,277.51
"60","51","2014/51","2014",290.91,277.81
"61","52","2014/52","2014",310.92,300.65
"62","1","2015/1","2015",315.74,303.17
"63","2","2015/2","2015",314.66,299.89
"64","3","2015/3","2015",316.52,302.97
"65","4","2015/4","2015",321.21,311.3
"66","5","2015/5","2015",323.15,313.22
"67","6","2015/6","2015",320.77,311.57
"68","7","2015/7","2015",303.2,298.57
"69","8","2015/8","2015",305.05,289.9
"70","9","2015/9","2015",304.83,289.53
"71","10","2015/10","2015",303.5,288.89
"72","11","2015/11","2015",304.35,287.7
"73","12","2015/12","2015",301.48,287.98
"74","13","2015/13","2015",301.81,287.76
"75","14","2015/14","2015",300.31,287.73
"76","15","2015/15","2015",299.95,285.42
"77","16","2015/16","2015",299.07,283.58
"78","17","2015/17","2015",299.09,284.52
"79","18","2015/18","2015",289.28,277.01
"80","19","2015/19","2015",282.72,273.4
"81","20","2015/20","2015",283.01,273.32
"82","21","2015/21","2015",281.65,270.94
"83","22","2015/22","2015",283.51,273
"84","23","2015/23","2015",289.65,278.87
"85","24","2015/24","2015",288.59,279.83
"86","25","2015/25","2015",292.72,286.28
"87","26","2015/26","2015",294.75,287.65
"88","27","2015/27","2015",294.87,287.7
"89","28","2015/28","2015",303.93,296.9
"90","29","2015/29","2015",304.82,298.47
"91","30","2015/30","2015",305.24,299.13
"92","31","2015/31","2015",305.26,299.21
"93","32","2015/32","2015",305.26,299.18
"94","33","2015/33","2015",305.21,298.49
"95","34","2015/34","2015",306.06,299.07
"96","35","2015/35","2015",311.05,304.38
"97","36","2015/36","2015",312.71,305.57
"98","37","2015/37","2015",312.32,306.2
"99","38","2015/38","2015",311.95,305.49
"100","39","2015/39","2015",311.39,305.21
"101","40","2015/40","2015",311.55,305.86
"102","41","2015/41","2015",310.8,305.14
"103","42","2015/42","2015",308.4,301.15
"104","43","2015/43","2015",307.07,301.33
"105","44","2015/44","2015",308.73,299.77
"106","45","2015/45","2015",309.26,304.53
"107","46","2015/46","2015",314.07,307.45
"108","47","2015/47","2015",326.2,314.64
"109","48","2015/48","2015",327.09,315.29
"110","49","2015/49","2015",328.62,316.43
"111","50","2015/50","2015",330.75,321.56
"112","51","2015/51","2015",330.83,321.17
"113","52","2015/52","2015",330.41,319.57
"114","1","2016/1","2016",332.55,320.95
"115","2","2016/2","2016",341.95,331.13
"116","3","2016/3","2016",345.95,336.32
"117","4","2016/4","2016",351.78,343.28
"118","5","2016/5","2016",358.15,345.6
"119","6","2016/6","2016",355.66,345.54
"120","7","2016/7","2016",370.65,361.03
"121","8","2016/8","2016",371.9,364.69
"122","9","2016/9","2016",373.01,365.81
"123","10","2016/10","2016",370.21,362.14
"124","11","2016/11","2016",373.18,366.98
"125","12","2016/12","2016",371.51,364.58
"126","13","2016/13","2016",371.45,365.27
